Key,English,Sinhala (draft),Correction,Notes
common.appName,Plan B,Plan B,,
common.continue,Continue,ඉදිරියට,,
common.cancel,Cancel,අවලංගු කරන්න,,
common.save,Save,සුරකින්න,,
common.retry,Try again,නැවත උත්සාහ කරන්න,,
common.back,Back,ආපසු,,
common.close,Close,වසන්න,,
common.loading,Loading…,පූරණය වෙමින්…,,
common.offline,You're offline. Some things won't update until you reconnect.,ඔබ දැන් ඔෆ්ලයින්. නැවත සම්බන්ධ වන තෙක් සමහර දේ යාවත්කාලීන නොවේ.,,
common.genericError,Something went wrong. Please try again.,යම් ගැටලුවක් ඇති විය. නැවත උත්සාහ කරන්න.,,
common.notSet,Not set,සඳහන් කර නැත,,
common.search,Search,සොයන්න,,
common.noResults,No matches,ගැළපෙන දෙයක් නැත,,
common.optional,Optional,අවශ්‍ය නැත,,
common.done,Done,අවසන්,,
common.comingSoon,Coming soon,ඉක්මනින්,,
common.clearSearch,Clear search,සෙවුම මකන්න,,
common.brandAvatar,Plan B Academy,Plan B Academy,,
common.fieldError,"{{label}}, error: {{error}}","{{label}}, දෝෂය: {{error}}",,
appError.title,Something went wrong,යම් ගැටලුවක් ඇති විය,,
appError.body,"Sorry, the app ran into a problem. Please try again. If it keeps happening, close the app and open it again.","සමාවන්න, යෙදුමේ ගැටලුවක් ඇති විය. නැවත උත්සාහ කරන්න. එය දිගටම සිදු වුවහොත් යෙදුම වසා නැවත විවෘත කරන්න.",,
appError.stalledTitle,Taking longer than usual,සාමාන්‍යයට වඩා කාලයක් ගතවෙයි,,
appError.stalledBody,The app is taking longer than usual to start. Please close it and open it again.,යෙදුම ආරම්භ වීමට සාමාන්‍යයට වඩා කාලයක් ගතවෙයි. එය වසා නැවත විවෘත කරන්න.,,
intro.skipHint,Tap to continue,ඉදිරියට යාමට තට්ටු කරන්න,,
appUpdate.requiredTitle,Please update the app,කරුණාකර යෙදුම යාවත්කාලීන කරන්න,,
appUpdate.requiredBody,This version of Plan B Academy is no longer supported. Update to the latest version to keep learning. It only takes a minute.,Plan B Academy හි මෙම අනුවාදය තවදුරටත් සහාය නොදක්වයි. දිගටම ඉගෙන ගැනීමට නවතම අනුවාදයට යාවත්කාලීන කරන්න. එයට ගත වන්නේ විනාඩියක් පමණි.,,
appUpdate.updateNow,Update now,දැන් යාවත්කාලීන කරන්න,,
appUpdate.availableTitle,A new version is available,නව අනුවාදයක් ඇත,,
appUpdate.availableBody,Update to get the latest features and fixes.,නවතම විශේෂාංග සහ නිවැරදි කිරීම් ලබා ගැනීමට යාවත්කාලීන කරන්න.,,
appUpdate.update,Update,යාවත්කාලීන,,
appUpdate.dismiss,Dismiss update message,යාවත්කාලීන පණිවිඩය වසන්න,,Screen reader label for the X button
appUpdate.storeFailed,Could not open the store. Please update Plan B Academy from Google Play.,Store එක විවෘත කළ නොහැකි විය. කරුණාකර Google Play වෙතින් Plan B Academy යාවත්කාලීන කරන්න.,,
auth.brandWelcome,Welcome to PlanB,PlanB වෙත සාදරයෙන් පිළිගනිමු,,
auth.signInTitle,Sign in,පිවිසෙන්න,,
auth.signInSubtitle,Use the email address Plan B has on file for you.,Plan B ළඟ ඇති ඔබේ විද්‍යුත් තැපැල් ලිපිනය භාවිත කරන්න.,,
auth.google,Continue with Google,Google සමඟ ඉදිරියට,,
auth.or,or,හෝ,,
auth.emailLabel,Email address,විද්‍යුත් තැපැල් ලිපිනය,,
auth.emailPlaceholder,you@example.com,you@example.com,,
auth.continueWithGoogle,Continue with Google,Google සමඟ ඉදිරියට,,
auth.sendCode,Email me a sign-in code,පිවිසුම් කේතය මට ඊමේල් කරන්න,,
auth.codeTitle,Enter your code,ඔබේ කේතය ඇතුළත් කරන්න,,
auth.codeSubtitle,We sent a {{length}}-digit code to {{email}}. It expires in {{minutes}} minutes.,{{email}} වෙත ඉලක්කම් {{length}}ක කේතයක් යැව්වා. එය මිනිත්තු {{minutes}}කින් කල් ඉකුත් වේ.,,
auth.codePlaceholder,000000,000000,,
auth.verify,Verify,තහවුරු කරන්න,,
auth.resend,Send a new code,නව කේතයක් එවන්න,,
auth.resendIn,You can request a new code in {{seconds}}s,තත්පර {{seconds}}කින් නව කේතයක් ඉල්ලිය හැක,,
auth.codeSent,"If that email matches our records, we've sent you a code.","එම ඊමේල් ලිපිනය අපේ වාර්තාවල ඇත්නම්, ඔබට කේතයක් යවා ඇත.",,
auth.codeInvalid,That code isn't right. Check it and try again.,එම කේතය නිවැරදි නැත. පරීක්ෂා කර නැවත උත්සාහ කරන්න.,,
auth.codeExpired,That code has expired. Request a new one.,එම කේතය කල් ඉකුත් වී ඇත. අලුත් එකක් ඉල්ලන්න.,,
auth.blocked,Your account has been suspended. Please contact Plan B support.,ඔබේ ගිණුම අත්හිටුවා ඇත. Plan B සහාය අංශය අමතන්න.,,
auth.welcome,Welcome to Plan B! Your account is ready.,Plan B වෙත සාදරයෙන් පිළිගනිමු! ඔබේ ගිණුම සූදානම්.,,
auth.welcomeBack,Welcome back.,නැවත සාදරයෙන් පිළිගනිමු.,,
auth.finishingSignIn,Finishing sign-in…,පිවිසීම සම්පූර්ණ වෙමින්…,,
auth.signUpHint,New to Plan B? Continue with Google and we'll set up your account.,"Plan B වෙත අලුත්ද? Google සමඟ ඉදිරියට යන්න, අපි ඔබේ ගිණුම සාදා දෙන්නම්.",,
auth.noAccount,"We couldn't sign you in. If you're a Plan B student, contact support to check the email address on your record.","ඔබව පිවිසීමට නොහැකි විය. ඔබ Plan B සිසුවෙක් නම්, ඔබේ වාර්තාවේ ඇති ඊමේල් ලිපිනය පරීක්ෂා කිරීමට සහාය අංශය අමතන්න.",,
auth.signOut,Sign out,පිටවෙන්න,,
auth.signOutConfirm,Sign out of Plan B on this device?,මෙම උපාංගයෙන් Plan B වෙතින් පිටවෙනවාද?,,
auth.legalConsent,"By continuing, you agree to our <terms>Terms of Use</terms> and <privacy>Privacy Policy</privacy>, and confirm you are 18 or older.","ඉදිරියට යාමෙන් ඔබ අපගේ <terms>භාවිත නියම</terms> සහ <privacy>පෞද්ගලිකත්ව ප්‍රතිපත්තිය</privacy> පිළිගන්නා අතර, ඔබේ වයස අවුරුදු 18ට වැඩි බව තහවුරු කරයි.",,
legal.sectionTitle,Help & legal,උදව් සහ නීතිමය,,
legal.privacy,Privacy policy,පෞද්ගලිකත්ව ප්‍රතිපත්තිය,,
legal.terms,Terms of use,භාවිත නියම,,
legal.support,Contact support,සහාය අංශය අමතන්න,,
legal.supportSubject,Plan B app support,Plan B යෙදුම සඳහා සහාය,,
account.delete,Delete account,ගිණුම මකන්න,,
account.deleteTitle,Delete your account?,ඔබේ ගිණුම මකන්නද?,,
account.deleteWarning,This can't be undone. You won't be able to get your account back.,මෙය ආපසු හැරවිය නොහැක. ඔබට ගිණුම නැවත ලබා ගත නොහැක.,,
account.deletedHeading,We will delete,අපි මකා දමන දේ,,
account.deletedItems,"Your profile details, photo, CV and profile video, your lesson progress and assessment results, your checklist ticks and your wishlist.","ඔබේ පැතිකඩ විස්තර, ඡායාරූපය, CV සහ පැතිකඩ වීඩියෝව, ඔබේ පාඩම් ප්‍රගතිය සහ තක්සේරු ප්‍රතිඵල, ඔබේ පිරික්සුම් ලැයිස්තු සලකුණු සහ ඔබේ ප්‍රියතම ලැයිස්තුව.",,
account.keptHeading,We will keep,අපි තබා ගන්නා දේ,,
account.keptItems,"Records of courses and services you paid for, including any bank slips you uploaded. We must keep these for accounting.","ඔබ ගෙවූ පාඨමාලා සහ සේවා පිළිබඳ වාර්තා, ඔබ උඩුගත කළ බැංකු පත්‍රිකා ඇතුළුව. ගිණුම්කරණය සඳහා අපට ඒවා තබා ගැනීමට සිදුවේ.",,
account.sendCode,Email me a code,මට කේතයක් ඊමේල් කරන්න,,
account.sendCodeHint,"To make sure it's you, we'll send a code to {{email}}.",එය ඔබ බව තහවුරු කර ගැනීමට {{email}} වෙත කේතයක් යවන්නෙමු.,,
account.confirmTitle,Confirm deletion,මැකීම තහවුරු කරන්න,,
account.confirmSubtitle,Enter the {{length}}-digit code we sent to {{email}}. It expires in {{minutes}} minutes.,{{email}} වෙත යැවූ ඉලක්කම් {{length}}ක කේතය ඇතුළත් කරන්න. එය මිනිත්තු {{minutes}}කින් කල් ඉකුත් වේ.,,
account.confirmButton,Delete my account,මගේ ගිණුම මකන්න,,
account.deleted,Your account has been deleted.,ඔබේ ගිණුම මකා දමා ඇත.,,
account.codeSent,We've sent a code to your email.,ඔබේ ඊමේල් වෙත කේතයක් යවා ඇත.,,
wishlist.title,My wishlist,මගේ ප්‍රියතම ලැයිස්තුව,,
wishlist.add,Save to wishlist,ප්‍රියතම ලැයිස්තුවට එක් කරන්න,,
wishlist.remove,Remove from wishlist,ප්‍රියතම ලැයිස්තුවෙන් ඉවත් කරන්න,,
wishlist.failed,We couldn't update your wishlist. Please try again.,ඔබේ ප්‍රියතම ලැයිස්තුව යාවත්කාලීන කළ නොහැකි විය. නැවත උත්සාහ කරන්න.,,
wishlist.count_one,{{count}} course,පාඨමාලා {{count}},,
wishlist.count_other,{{count}} courses,පාඨමාලා {{count}},,
wishlist.emptyTitle,No saved courses yet,තවම සුරැකි පාඨමාලා නැත,,
wishlist.emptyBody,Tap the heart on any course to save it here for later.,පසුව බැලීමට ඕනෑම පාඨමාලාවක හදවත් ලකුණ තට්ටු කර මෙහි සුරකින්න.,,
wishlist.browse,Browse courses,පාඨමාලා බලන්න,,
wishlist.loadFailedTitle,Couldn't load your wishlist,ප්‍රියතම ලැයිස්තුව පූරණය කළ නොහැකි විය,,
wishlist.loadFailedBody,Check your connection and try again.,ඔබේ සම්බන්ධතාවය පරීක්ෂා කර නැවත උත්සාහ කරන්න.,,
home.title,Home,මුල් පිටුව,,
home.greeting,"Hello, 👋","ආයුබෝවන්, 👋",,
home.greetingFallback,Welcome back 👋,නැවත සාදරයෙන් පිළිගනිමු 👋,,
home.keepGoing,Keep going — you're {{percent}}% through.,දිගටම කරගෙන යන්න — ඔබ {{percent}}%ක් අවසන් කර ඇත.,,
home.allCaughtUp,You're all caught up.,ඔබ සියල්ල අවසන් කර ඇත.,,
home.viewAll,View all,සියල්ල බලන්න,,
home.continueLearning,Continue learning,ඉගෙනීම දිගටම,,
home.resume,Resume,දිගටම කරන්න,,
home.noProgressTitle,Start your first course,ඔබේ පළමු පාඨමාලාව අරඹන්න,,
home.noProgressBody,Your courses are ready when you are.,ඔබ සූදානම් වූ විට පාඨමාලා සූදානම්.,,
home.browseCourses,Browse courses,පාඨමාලා බලන්න,,
home.myCourses,My courses,මගේ පාඨමාලා,,
home.browseTitle,Nothing enrolled yet,තවම ලියාපදිංචි වී නැත,,
home.browseBody,Pick a course to get started. Your progress will show up here.,පටන් ගැනීමට පාඨමාලාවක් තෝරන්න. ඔබේ ප්‍රගතිය මෙහි පෙන්වයි.,,
home.categoryAll,All,සියල්ල,,
home.allCaughtUpBody,Every course you own is finished. Nice work.,ඔබ සතු සෑම පාඨමාලාවක්ම අවසන්. හොඳ වැඩක්.,,
home.tileNothingYet,Nothing yet,තවම කිසිවක් නැත,,
home.tileCoursesActive_one,{{count}} in progress,{{count}}ක් කරගෙන යයි,,
home.tileCoursesActive_other,{{count}} in progress,{{count}}ක් කරගෙන යයි,,
home.popularTitle,Popular Courses,ජනප්‍රිය පාඨමාලා,,
home.categoriesTitle,Top Categories,ප්‍රධාන ප්‍රවර්ග,,
home.profileTitle,Complete your profile,ඔබේ පැතිකඩ සම්පූර්ණ කරන්න,,
